zip,street,units,type,url_addr
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/12-asbury-irvine-ca-92602--2080987825
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/15-asbury-irvine-ca-92602--2080988264
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/16-asbury-irvine-ca-92602--1002008265
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/17-asbury-irvine-ca-92602--2080988558
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/18-asbury-irvine-ca-92602--2080988684
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/19-asbury-irvine-ca-92602--2080988783
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/20-asbury-irvine-ca-92602--2080988981
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/21-asbury-irvine-ca-92602--1010781880
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/23-asbury-irvine-ca-92602--2080989293
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/25-asbury-irvine-ca-92602--2080989484
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/26-asbury-irvine-ca-92602--2080989567
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/27-asbury-irvine-ca-92602--2080989657
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/28-asbury-irvine-ca-92602--1057011143
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/29-asbury-irvine-ca-92602--2080989783
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/30-asbury-irvine-ca-92602--2080989990
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/31-asbury-irvine-ca-92602--2080990078
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/32-asbury-irvine-ca-92602--1007075729
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/33-asbury-irvine-ca-92602--2080990227
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/34-asbury-irvine-ca-92602--2080990293
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/35-asbury-irvine-ca-92602--2080990364
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/36-asbury-irvine-ca-92602--1001792726
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/37-asbury-irvine-ca-92602--2080990479
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/38-asbury-irvine-ca-92602--2080990553
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/39-asbury-irvine-ca-92602--1002022280
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/40-asbury-irvine-ca-92602--2080990863
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/41-asbury-irvine-ca-92602--1037635071
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/43-asbury-irvine-ca-92602--2080991035
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/46-asbury-irvine-ca-92602--2080991178
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/48-asbury-irvine-ca-92602--2080991263
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/49-asbury-irvine-ca-92602--2080991307
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/50-asbury-irvine-ca-92602--2080991424
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/51-asbury-irvine-ca-92602--2080991478
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/52-asbury-irvine-ca-92602--2080991509
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/53-asbury-irvine-ca-92602--2080991554
92602,Asbury,45,Single Family,https://www.trulia.com/p/ca/irvine/55-asbury-irvine-ca-92602--2080991628
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/51-copper-mine-irvine-ca-92602--2283598871
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/53-copper-mine-irvine-ca-92602--2313675715
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/55-copper-mine-irvine-ca-92602--2283598874
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/57-copper-mine-irvine-ca-92602--2283598877
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/59-copper-mine-irvine-ca-92602--2348903829
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/60-copper-mine-irvine-ca-92602--2283598927
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/62-copper-mine-irvine-ca-92602--2283598925
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/64-copper-mine-irvine-ca-92602--2206343210
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/66-copper-mine-irvine-ca-92602--2283598920
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/68-copper-mine-irvine-ca-92602--2348157648
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/70-copper-mine-irvine-ca-92602--1150271066
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/71-copper-mine-irvine-ca-92602--2206361469
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/72-copper-mine-irvine-ca-92602--2199721063
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/73-copper-mine-irvine-ca-92602--2206346310
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/74-copper-mine-irvine-ca-92602--2206350967
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/75-copper-mine-irvine-ca-92602--2283598897
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/76-copper-mine-irvine-ca-92602--2206344926
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/77-copper-mine-irvine-ca-92602--2206345455
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/78-copper-mine-irvine-ca-92602--2124456383
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/79-copper-mine-irvine-ca-92602--2124473172
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/80-copper-mine-irvine-ca-92602--2216062923
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/81-copper-mine-irvine-ca-92602--2216063140
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/82-copper-mine-irvine-ca-92602--2216063354
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/83-copper-mine-irvine-ca-92602--2124596220
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/84-copper-mine-irvine-ca-92602--1151044511
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/85-copper-mine-irvine-ca-92602--2124636890
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/86-copper-mine-irvine-ca-92602--2216064347
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/88-copper-mine-irvine-ca-92602--2124687493
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/90-copper-mine-irvine-ca-92602--1150717683
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/91-copper-mine-irvine-ca-92602--2124786530
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/92-copper-mine-irvine-ca-92602--2124818299
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/93-copper-mine-irvine-ca-92602--2124835593
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/94-copper-mine-irvine-ca-92602--2124870610
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/95-copper-mine-irvine-ca-92602--2124898385
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/96-copper-mine-irvine-ca-92602--2216066284
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/97-copper-mine-irvine-ca-92602--1150717682
