zip,street,units,type,url_addr,file_no
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/2-mann-st-irvine-ca-92612--2081022792,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/3-mann-st-irvine-ca-92612--2081024056,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/4-mann-st-irvine-ca-92612--2081024875,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/5-mann-st-irvine-ca-92612--2081025514,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/6-mann-st-irvine-ca-92612--2081025866,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/7-mann-st-irvine-ca-92612--1025152136,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/8-mann-st-irvine-ca-92612--2081026460,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/9-mann-st-irvine-ca-92612--2081026686,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/10-mann-st-irvine-ca-92612--2081019239,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/11-mann-st-irvine-ca-92612--2081019445,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/12-mann-st-irvine-ca-92612--2081019632,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/14-mann-st-irvine-ca-92612--2081019970,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/15-mann-st-irvine-ca-92612--2081020131,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/16-mann-st-irvine-ca-92612--2081020261,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/17-mann-st-irvine-ca-92612--2081020589,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/18-mann-st-irvine-ca-92612--2081020836,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/19-mann-st-irvine-ca-92612--2081020977,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/20-mann-st-irvine-ca-92612--2081021218,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/21-mann-st-irvine-ca-92612--2081021479,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/22-mann-st-irvine-ca-92612--2081021924,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/23-mann-st-irvine-ca-92612--2081022095,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/24-mann-st-irvine-ca-92612--2081022256,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/25-mann-st-irvine-ca-92612--1027860534,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/26-mann-st-irvine-ca-92612--2081022427,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/27-mann-st-irvine-ca-92612--2081022502,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/28-mann-st-irvine-ca-92612--2081022579,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/29-mann-st-irvine-ca-92612--2081022696,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/30-mann-st-irvine-ca-92612--2081022937,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/31-mann-st-irvine-ca-92612--2081023254,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/32-mann-st-irvine-ca-92612--1057345046,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/33-mann-st-irvine-ca-92612--2081023546,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/34-mann-st-irvine-ca-92612--2081023643,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/36-mann-st-irvine-ca-92612--2081023763,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/37-mann-st-irvine-ca-92612--2081023818,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/38-mann-st-irvine-ca-92612--2081023928,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/39-mann-st-irvine-ca-92612--2081023971,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/40-mann-st-irvine-ca-92612--2081024203,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/41-mann-st-irvine-ca-92612--2081024253,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/42-mann-st-irvine-ca-92612--2081024302,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/43-mann-st-irvine-ca-92612--2081024345,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/44-mann-st-irvine-ca-92612--2081024410,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/45-mann-st-irvine-ca-92612--2081024488,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/46-mann-st-irvine-ca-92612--2081024570,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/47-mann-st-irvine-ca-92612--2081024617,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/48-mann-st-irvine-ca-92612--2081024691,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/49-mann-st-irvine-ca-92612--2081024803,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/50-mann-st-irvine-ca-92612--2081025055,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/51-mann-st-irvine-ca-92612--2081025152,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/52-mann-st-irvine-ca-92612--2081025217,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/53-mann-st-irvine-ca-92612--2081025270,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/54-mann-st-irvine-ca-92612--1002028991,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/55-mann-st-irvine-ca-92612--2081025326,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/56-mann-st-irvine-ca-92612--2081025354,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/57-mann-st-irvine-ca-92612--2081025382,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/58-mann-st-irvine-ca-92612--2081025410,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/60-mann-st-irvine-ca-92612--2081025587,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/62-mann-st-irvine-ca-92612--2081025644,3 of 4
92612,Mann St,59,Single Family,https://www.trulia.com/p/ca/irvine/64-mann-st-irvine-ca-92612--2081025681,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/1-gillman-st-irvine-ca-92612--2081021069,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/2-gillman-st-irvine-ca-92612--2081022768,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/3-gillman-st-irvine-ca-92612--2081024034,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/4-gillman-st-irvine-ca-92612--1002033568,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/5-gillman-st-irvine-ca-92612--2081025490,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/6-gillman-st-irvine-ca-92612--1001947068,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/7-gillman-st-irvine-ca-92612--2081026136,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/8-gillman-st-irvine-ca-92612--2081026438,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/9-gillman-st-irvine-ca-92612--1008797733,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/10-gillman-st-irvine-ca-92612--2081019221,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/11-gillman-st-irvine-ca-92612--2081019424,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/12-gillman-st-irvine-ca-92612--1006487691,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/14-gillman-st-irvine-ca-92612--1006487671,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/15-gillman-st-irvine-ca-92612--2081020112,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/16-gillman-st-irvine-ca-92612--2081020246,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/17-gillman-st-irvine-ca-92612--2081020574,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/18-gillman-st-irvine-ca-92612--1055846930,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/19-gillman-st-irvine-ca-92612--2081020964,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/20-gillman-st-irvine-ca-92612--2081021208,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/21-gillman-st-irvine-ca-92612--2081021418,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/22-gillman-st-irvine-ca-92612--2081021916,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/23-gillman-st-irvine-ca-92612--2081022087,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/24-gillman-st-irvine-ca-92612--1019434776,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/25-gillman-st-irvine-ca-92612--2081022330,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/26-gillman-st-irvine-ca-92612--1002020044,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/27-gillman-st-irvine-ca-92612--2081022493,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/28-gillman-st-irvine-ca-92612--2081022570,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/29-gillman-st-irvine-ca-92612--2081022688,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/30-gillman-st-irvine-ca-92612--2081022927,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/31-gillman-st-irvine-ca-92612--2081023249,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/32-gillman-st-irvine-ca-92612--2081023358,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/33-gillman-st-irvine-ca-92612--2081023541,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/34-gillman-st-irvine-ca-92612--2081023638,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/35-gillman-st-irvine-ca-92612--2081023698,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/36-gillman-st-irvine-ca-92612--2081023757,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/37-gillman-st-irvine-ca-92612--2081023814,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/38-gillman-st-irvine-ca-92612--2081023923,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/39-gillman-st-irvine-ca-92612--2081023966,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/40-gillman-st-irvine-ca-92612--2081024200,3 of 4
92612,Gillman St,58,Single Family,https://www.trulia.com/p/ca/irvine/41-gillman-st-irvine-ca-92612--2081024248,3 of 4
